,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
421,Tanner,Jeannot,F,2021-22,24,NSH,NHL,81,24,17,41,2,130,21,2,1,5,16,1,0,124,19.4,,1295,15:59,10,14,41.7,64,318,,,,0,0,
422,Jan,Jeník,RW,2021-22,21,ARI,NHL,13,2,1,3,-6,11,2,0,0,1,1,0,0,22,9.1,,139,10:41,8,11,42.1,4,25,,,,0,0,
423,Boone,Jenner,C,2021-22,28,CBJ,NHL,59,23,21,44,-11,22,15,8,0,3,19,2,0,160,14.4,,1207,20:28,642,556,53.6,56,80,,,,0,0,
424,Nick,Jensen,D,2021-22,31,WSH,NHL,76,5,16,21,32,21,5,0,0,1,16,0,0,88,5.7,,1470,19:21,0,0,,92,135,,,,0,0,
425,Lucas,Johansen,D,2021-22,24,WSH,NHL,1,0,1,1,1,0,0,0,0,0,1,0,0,0,,,12,12:18,0,0,,0,0,,,,0,0,
426,Ryan,Johansen,C,2021-22,29,NSH,NHL,79,26,37,63,-2,53,15,11,0,6,24,13,0,118,22.0,,1309,16:34,691,622,52.6,35,72,,,,0,0,
427,Marcus,Johansson,C,2021-22,31,TOT,NHL,69,9,20,29,-26,4,6,3,0,2,13,7,0,111,8.1,,1113,16:08,41,57,41.8,26,31,,,,0,0,
428,Erik,Johnson,D,2021-22,33,COL,NHL,77,8,17,25,22,24,7,0,1,1,15,1,1,139,5.8,,1330,17:17,0,0,,136,165,,,,0,0,
429,Jack,Johnson,D,2021-22,35,COL,NHL,74,1,8,9,5,42,1,0,0,0,7,0,1,57,1.8,,1239,16:45,0,0,,68,91,,,,0,0,
430,Kent,Johnson,C,2021-22,19,CBJ,NHL,9,0,3,3,2,2,0,0,0,0,1,2,0,5,0.0,,112,12:27,0,0,,1,4,,,,0,0,
431,Reese,Johnson,F,2021-22,23,CHI,NHL,37,1,5,6,-13,16,1,0,0,0,5,0,0,24,4.2,,393,10:38,107,105,50.5,14,141,,,,0,0,
432,Tyler,Johnson,C,2021-22,31,CHI,NHL,26,3,4,7,-8,12,3,0,0,0,2,2,0,30,10.0,,337,12:59,31,20,60.8,7,37,,,,0,0,
433,Andreas,Johnsson,LW,2021-22,27,NJD,NHL,71,13,22,35,4,30,12,1,0,0,22,0,0,114,11.4,,1020,14:22,4,10,28.6,22,64,,,,0,0,
434,Ross,Johnston,LW,2021-22,27,NYI,NHL,32,2,5,7,-3,44,2,0,0,0,5,0,0,9,22.2,,329,10:16,0,1,0.0,16,90,,,,0,0,
435,Henri,Jokiharju,D,2021-22,22,BUF,NHL,60,3,16,19,-8,20,3,0,0,0,12,4,0,83,3.6,,1313,21:53,0,0,,60,73,,,,0,0,
436,Ben,Jones,F,2021-22,22,VEG,NHL,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,,16,8:03,0,0,,1,4,,,,0,0,
437,Caleb,Jones,D,2021-22,24,CHI,NHL,51,5,10,15,-3,18,5,0,0,1,9,1,0,57,8.8,,853,16:43,0,0,,58,77,,,,0,0,
438,Max,Jones,LW,2021-22,23,ANA,NHL,2,0,0,0,-1,15,0,0,0,0,0,0,0,2,0.0,,20,9:54,1,1,50.0,0,2,,,,0,0,
439,Seth,Jones,D,2021-22,27,CHI,NHL,78,5,46,51,-37,28,5,0,0,0,26,19,1,194,2.6,,2045,26:13,0,0,,155,99,,,,0,0,
440,Zachary,Jones,D,2021-22,21,NYR,NHL,12,0,2,2,-7,0,0,0,0,0,2,0,0,8,0.0,,182,15:10,0,0,,13,4,,,,0,0,
441,Axel,Jonsson-Fjällby,LW,2021-22,23,WSH,NHL,23,2,2,4,0,4,2,0,0,0,2,0,0,29,6.9,,257,11:11,1,3,25.0,8,18,,,,0,0,
442,Mathieu,Joseph,RW,2021-22,24,TOT,NHL,69,12,18,30,12,29,10,0,2,3,16,0,2,86,14.0,,980,14:12,20,28,41.7,27,106,,,,0,0,
443,Pierre-Olivier,Joseph,D,2021-22,22,PIT,NHL,4,0,0,0,-2,2,0,0,0,0,0,0,0,7,0.0,,73,18:14,0,0,,4,6,,,,0,0,
444,Dakota,Joshua,C,2021-22,25,STL,NHL,30,3,5,8,6,16,3,0,0,2,5,0,0,31,9.7,,255,8:30,40,35,53.3,10,77,,,,0,0,
